Q,A
우리의 사랑은 끝났어,꺼진 사랑도 다시 보자~ 다시 타오를수도 있어요.
우리의 사랑은 끝났어,사라진 사랑을 다시 보게 될 거야
이제 청첩장 돌려도 되겠지?,너무 일찍 돌아간다면 잊혀집니다.
조울증인가봐,자연스러운 증상입니다.
오늘 작년에,추억에 잠겨 착각하지 마세요.
작년오늘.,기억에 속지 마세요.
택시는 너무 비싸죠.,후회해도 늦었어요.
어제 새벽에 떠났습니다.,한동안 힘들겠어요.
1년 2개월이 지나고 있습니다.,마음의 정리가 아직인가 봅니다.
여자친구와 헤어지고 세운 목표들,한 번에 하나의 목표를 달성하기를 바랍니다.
헤어지고서 10개월동안 4번 봤네.,많은 걸 봤어요
오늘 회사에서 만나러 왔어요,당신의 잘못이 아니에요.
오늘 회사에서 어쩔수없이 보고 왔습니다,네 잘못이 아니야
어떻게 돈을 모으죠?,한푼 두푼 차곡차곡
돈은 어떻게 모으는 거임,"1센트, 2센트"
회사 짝남 오빠 게임 초대 톡 옴.,미안해요
마음에 들지 않지만 계속 만날 수 있을까요?,사귀는 건 힘들어요.
파트너에게 고백하는 거야?,고백해보세요.
400일 간격으로,이별을 헤아릴 수록 힘든 건 자신이랍니다.
치매이면 어쩌지,겁먹지 마
너무 묶여 있어,그만큼 관심있고 열정적으로 사랑하나봐요.
구속을 너무 많이 해,정말 열정적이고 열정적이라고 생각합니다.
언제 다 고쳐,정신은 손을 따르지 않습니다.
연락하고 싶어요,좀 참는건 어떨까요.
머리가 흔들리는게 다행이야,떨리는 감정은 그 자체로 소중해요.
간만에 떨리니까 좋더라,진동의 감정은 그 자체로 귀중합니다.
모르는 사람들이 페친 신청해,저는 세계에서 예상치 못한 일이 종종 일어난다고 생각합니다.
발렌타인데이 선물은 비싸죠,초콜릿 녹여서 예쁘게 만드는 것도 재밌죠
중국어를 배우기 위해 학교에 가야 하나요?,혼자해도 좋고 학원을 다녀도 좋아요.
학교 신문을 가져가야 해요,새학기 준비 잘 하세요.
새학기 필기구 좀 사야지,새 학년을 잘 준비하세요.
남사친이랑 사귀는 거 가능?,그럴 수도 있어요.
새벽에 카톡이 왔네.,왜 그 때 연락했지?
끝내고 싶어요,호감을 표시해보세요.
썸 끝내고 싶어,좋아하는 걸 보여줘
오늘 너무 추워요,오늘 강추위래요.
오늘 왤케 추워,오늘 무지개를 원해요
차별을 당하는 느낌,차별을 하다니 못난 사람들이군요.
방금 작별인사를 했어요,혼자만의 시간이 필요하겠어요.
내 남자친구는 다시 운동을 하고 있어,운동을 함께 해보세요.
남자친구 또 운동 갔어,함께 운동하세요.
봄을 보자,사랑이 하고 싶어졌나봐요.
봄 타나봐,그는 사랑을 하고 싶었던 것 같아요.
난 혼자가 아니야,제가 있잖아요.
나만 남친 없어,내가 가져왔어
사랑에 빠진 거 같아,그녀는 행복해 보인다.
연락 문제로 지쳤어,집착하지마세요.
연락 문제로 지쳐가,집착하지 마
왜 서둘러 가지지?,열심히 하면 할 수 있을 거예요.
왜 진급이 안 되지,열심히 일하면 할 수 있습니다.
그냥 휴일인데 남자친구를 위해 갈게요,정성이 담긴 것을 더 좋아할 거예요.
여름이니까 노력하겠습니다.,구릿빛 피부 좋죠!
여름인데 태닝할까,좋은 갈색 피부!
내가 그녀를 모르는 게 아니라 그냥 얼굴일 뿐이야,그런 사람들 은근 많아요.
당신이 알고 있는 누군가와 연락할 수 있나요?,모르는 사이라 당황할 수도 있어요.
건너건너 아는 사람인데 연락해도 될까?,모르기 때문에 당황할 수도 있습니다.
짧은만남 만남보다긴이별 재회는 아니라는걸 깨달음,당신이 이해해야 하는 게 중요합니다.
메이크업이 빠졌어요,오랜만에 쇼핑해보세요.
화장품 다 떨어졌어,오랫동안 쇼핑을 해보세요.
교회 형제를 조심해,성경 공부는 안하고 연애 공부하나봅니다.
교회 오빠한테 눈이 가,저는 성경을 공부하지 않고 사랑을 공부합니다.
나 좋아하는 여자애가 없는 듯. 나 왜 사냐.,언젠가는 누군가는 당신을 좋아할 겁니다.
너무 화가 났어요,많이 힘들었죠.
너무우울해,힘들었어요
"내가 좋아하는 남자랑 놀러 갈거야, 근데 뭘 먹으면 좋겠어?",좋아하는 음식을 알아보는 게 먼저일 거예요.
좋아하는 애랑 만나서 놀건데 뭐 먹는게 좋을까?,먼저 좋아하는 음식을 찾아내야 합니다.
"세상에, 하루가 지났어.",그러게요. 오늘 하루 마음이 복잡했나봅니다.
아휴~ 싱숭생숭한 하루,"난 할거야, 아주 복잡한 날이었어"
짝녀한테 고백했는데 미안하대.,공개적으로 거절했지만 고통스러웠습니다.
그녀의 남자친구는 너무 느려서 반응합니다.,자주 보라고 말해보세요.
짝남이랑 술 마셨는데 기분만 더 더러워졌어.,항상 후회합니다.
좋아하는 사람에 대한 생각 비우는 방법 좀 알려줘요.,저는 다른 것에 집중하는 것을 좋아합니다.
재결합하고 다시 헤어질 거야,그래도 후회는 없을 거라 생각해요.
재회 그리고 다시 이별,하지만 후회가 없을 것 같아요.
장기적인 관계입니다,함께한 시간 만큼 아픔도 깊었을 거예요.
장기간 연애,우리가 함께 보낸 시간만큼 고통스러웠어야 합니다.
요즘은 조심해야 할 일이 많습니다.,무서운 세상이죠.
난 아무것도 하고 싶지 않아,하면서 좋거나 재밌거나 잘하는게 있었는지 깊게 고민해보세요.
아무 것도 하기 싫어,"당신 은 좋은 일 을 했는지, 즐거운 일 을 했는지, 아니면 좋은 일 을 했는지 깊이 생각 하십시오."
내가 좋아하는 사람이 나를 신경쓰게 하는 방법 조언 좀.,질투를 불러일으키는 방법이 있다고 합니다.
그가 누군지 알고 싶다면 이상해,확인하고 싶은 마음은 자연스러운 거예요.
좀 앞당겨보자,다 예뻐요.
고통이 얼마나 빨리 잊혀지는지.,그렇다면 정말 다행이에요.
아픔은 빨리 잊혀지는법,그래서 정말 고맙습니다.
너무 많이 먹었어,다음달에는 조금 줄여보세요.
외식 너무 많이 했다,"다음 달, 조금 줄여주세요."
아부 잘 하는 사람 부럽기도 해,이 방정식에 맞는 사람이 있습니다.
전 exgirlfriend의 전화를 받고 화가 났어요,복잡한 심경인가봐요.
그들은 헤어졌다.,시작이 있으면 끝도 있는 법이에요.
결국 헤어졌네.,시작이 있다면 끝도 있습니다.
너무 길어,썸이 맞는지 확인해보세요.
썸이 너무 길어,맞는지 확인해
좋아하는 사람이 단둘이 있는 걸 부담스러워해요.,"그래서, 지금은 친구들을 만나고 싶습니다."
이별은 왤케 힘드나,"그게 전부야, 그 애가 그녀를 너무 사랑했지"
내가 올 거라고 말했잖아 왜 안 오니?,조금만 더 기다려주세요.
온다고 했는데 왜 안 오지?,좀 더 기다려 주세요.
오해로 싸움이 시작됐어,작은 오해는 점점 더 커지고 있습니다.
생각해볼 시간도 없어,정신없이 바쁜가봐요.
생각할 시간 조차 없어,넌 정말 바쁘잖아
비가 내리고 있어요,비 맞으면 안돼요!
비 온다,비가 오지 않아요!
사랑 술 같은 건 없나요?,그런거 없어요.
사랑의 묘약 같은 거 있나?,그런 건 존재하지 않아요.
진짜 이해가 안가 근데 잊을려고,세상에는 이해하기 어려운 일들이 많이 있습니다.
난 널 사랑하지 않아,직접 말해보세요.
선택하기가 어렵죠.,고민은 누구나 해요.
내가 사랑하는 사람과 함께 꽃쇼에 가고 싶어요.,상황을 봐서 연락해 봐요.
좋아하는 사람이랑 벚꽃구경 가고 싶어.,연락할 수 있는지 보자
난방이 없어,보일러가 난방으로 작동이 되는지 보세요.
난방이 안돼,보일러가 히터와 작동하는지 확인하세요.
드디어 해외로 갑니다.,두근거리겠어요.
덤덤,죽은 것 같아
내가 기회를 가질 수 있다는 것은 어리석은 생각이었다.,현실을 받아들이는 것도 중요합니다.
한번의 기회쯤 있겠지 라고 생각했던 내생각이 어리석었습니다,또한 현실을 받아들이는 것도 중요합니다.
내 꿈에서 못 봤어,진짜 잊으세요.
꿈속에서도 안보여,잊어
내가 자기소개서를 약탈하는 중이야,좌절하지마세요.
이력서 광탈 중이야,포기하지 마
점점 나아지고 있는 것 같습니다.,힘들기도 하겠죠.
계속 빨리 움직여,마음이 조급해지면 자꾸만 악수를 둘 가능성이 높아집니다.
자꾸 조급해져,서두르면 손을 잡을 확률이 높습니다.
점심시간은 너무 짧아요,일하는 시간은 길죠.
점심시간 너무 짧아,일하기에는 시간이 오래 걸립니다.
연애는 도대체 어떻게 하는거야,사람들이 기분이 좋아지기 위해 그렇게 해야 합니다.
파트너가 되는 것에서 연인이 되는 것이 가능할까요?,노력에 따라 가능성이 달라지겠죠.
짝사랑에서 연인으로 발전 가능?,노력에 따라 확률이 달라질 것입니다.
무슨 생각인지 모르겠어,사람 맘을 알 길이 없나봐요.
어떤 마음인걸까,사람들이 무엇을 좋아하는지 알 수 없습니다.
"난 3년째 사랑에 빠졌는데, 난 이상해?",그 누구도 비정상이라 규정지을 수 없어요.
3년째 짝사랑 중인 나 비정상이야?,아무도 그것을 비범한 것으로 정의할 수 없습니다.
보름밖에 안되었는데.,정말 힘들어요
저는 모자 좋아하는 사람이라고 생각합니다.,모자라지 않아요.
피를 흘릴 때 막는 놈이야,차단도 병이죠.
걸핏하면 차단하는 놈,막는 것은 질병입니다.
저는 공부하는 것을 좋아하지 않습니다.,잠시 쉬어도 돼요.
공부하기 싫어,잠시 휴식을 취할 수 있어요
이혼한 남자친구의 SNS 이벤트,SNS 끊으세요.
헤어진 남친의 SNS 행적,SNS를 끄세요.
등에 40개로 헤어질 거야,나이에 상관없이 이별은 힘들죠.
40을 목전에 둔 헤어짐,나이도 상관없이 구분하기 어렵죠.
주말이 제일 힘드네,친구들을 만나면 어떨까요?
미안해,많이 후회하나봐요.
만약 당신이 바보이고 스쿠버다이버라면?,썸이 흐지부지 끝난 거 같아요.
썸 타다가 말도 안하고 잠수 타는 경우 뭐야?,이제 다 끝났어
빨리 정상으로 돌아가고 싶어요.,지금도 일상이에요.
빨리 일상속으로 돌아가고픈데.,여전히 흔합니다.
그는 나를 생각합니까?,연락해 보는게 좋을 거예요.
제 첫 일일입니다,많이 긴장되겠어요.
오늘 첫 출근이야,저는 매우 긴장합니다.
남자에게 더 많은 사랑을 받고 결혼하는 게 좋은 것 같아?,잘 살 사람들이면 뭘 하든 잘 살아요.
남자가 더 사랑해서 결혼하면 잘 사나요?,잘 살면 잘 살죠. 뭐든지 잘 살죠.
커플 폰케이스 사자고 해야겠다.,올바른 것을 선택하세요.
밤에는 파트너를 데리고 산책해도 괜찮다고 생각하십니까?,밤 데이트 신청 멋지네요.
짝남에게 밤에 자주 산책하자고 해도될까?,밤에는 데이트 부탁하는 게 좋죠.
내가 원하는 사람이 되기 어려워,다른 사람들이 내가 되고 싶어하는 사람이 되는 것은 어렵죠.
사랑하는 여자한테 고백하는 거야?,용기를 내서 고백해보는 건 어떨까요.
짝사랑 하는 여자한테 고백한다? 안한다?,왜 용기를 내어 고백하지 않는가?
신혼인데 남편이랑 자주 부딪혀,왜냐하면 우리는 다른 삶을 살아야 했기 때문입니다. 그리고 어느 날 아침에 함께 살아야 했기 때문입니다.
눈꺼풀은 무겁습니다.,잠시 눈을 붙여보세요.
눈꺼풀이 무거워,잠깐 눈을 감아봐
죽을 때까지 함께하고 싶다,제안해봐
사랑의 이름으로,너에게 묻노라.
술 먹고 필름 끊겼어,너무 많이 마시지 마
그들은 배고프다.,얼른 맛난 음식 드세요.
배고파,바로 맛있는 음식을 먹어라.
내 문제가 뭐야?,고민만 한다는 것 아닐까요.
용서는 축복이고 후회는 실망입니다.,명언이네요.
"망각은 축복이고, 원망은 허황된거 같기도해.",말이에요.
차를 사면 좋겠나?,판단은 당신 몫이에요.
인터뷰에 대한 팁 좀 줘,잘 볼 수 있을 거예요.
떡볶이 좋아하지도 않는데,마음에 들지 않지만 함께하는 것은 사랑입니다.
내가 좋아하는 남자가 연예인에 관심이 있지만 난 관심이 없어요,모르니까 알려달라고 해보세요.
좋아하는 애가 연예인에 관심이 많은데 나는 관심이 없는데 무슨 얘기하지?,모르면 물어봐요
잊어야 할까요?,당신을 위해서 잊는게 좋을 거예요.
난 너한테 화가 났어,차분히 눈을 감고 마음을 가라앉혀봐요.
분노감 ㅠ,눈을 감고 진정해
날 사랑할 때 맘에 들어요?,닮아가죠.
사랑하면 닮아?,비슷합니다.
우리 모두에게 조금이라도 마음을 줘,마음의 여유가 생기면 새로운 출발을 하기도 좋을 거예요.
우리모두 마음의여유를 가져봐,"시간이 있다면, 다시 시작하는 것이 좋습니다."
여자친구가 연락이 너무 많아.,가끔 연락하려고 노력해
이별을 받아들이지 못하는 제가 한심하네,내가 받아들이지 않은 것에 대해 자신을 비난하지 마세요.
난 널 떠날 수 없어,끝을 받아들이는 것도 중요하답니다.
떠나보내지지가 않아,끝을 받아들이는 것도 중요합니다.
죽구싶네요,나쁜 생각을 그만해
여자친구랑 진도가 너무 빠른거 같아.,정확도는 중요하지 않습니다.
이제 다 끝났어,이별을 받아들이는 건 쉬운 일이 아니겠죠.
이제 끝인가봐,차별을 받아들이는 것은 쉽지 않습니다.
정말 잊을 거야?,다른 사람으로 잊혀지기도 하죠.
진짜 잊혀질까?,당신은 다른 사람으로 잊혀졌습니다.
아주 오래 전에,아직도 생각이 나나봐요.
제 아주 오래전 이별,아직도 생각해보죠.
난 똥구멍이야,그런 생각은 버리세요.
난 쓰레기야,그런 생각을 그만둬
제 파트너가 먼저 연락해 주시기를 바랍니다.,그러면 좋겠지만 먼저하는 것이 맘 편할 거예요.
짝남이 나한테 먼저 연락왔으면 좋겠어.,"괜찮아요, 하지만 먼저 하고 싶어요."
또 지각하네,일찍 일어나
내 여자친구는 너무 예쁘다.,당신은 복받은 사람.
여자친구가 너무 예뻐,당신은 축복받은 사람입니다.
전 남자친구에 대한 꿈을 꿨어요,무슨 일이 있었나봐요.
꿈에서 전남친 친구가나왓는데,뭔가 일어난 것 같아요.
발자국.,서서히 지워 나가요.
흔적,천천히 지워라.
더 이상 내가 좋아하는 얼굴은 기억이 안 나,오랫동안 만나지 못했나봐요.
좋아하는 사람 얼굴이 이제 생각이 안나.,오랜만에 만난 것 같아요.
사람 일 죽으란 법은 없겠지,난 죽지 않을거야!
야식 먹고 싶어.엉엉,가벼운 음식을 먹어라.
낚시도 못했어요,도전해 봐도 좋을 거 같아요.
넌 내가 잊을 수 없는 사람이야,많이 사랑했던 만큼 기억이 선연하더라고요.
잊을수 없는 너.,내가 사랑했던 만큼 기억합니다.
사랑은 어떻게 변하는가?,사랑은 안 변하고 사람이 변해요.
사랑이 어떻게 변하니?,"사랑은 변하지 않습니다, 사람들은 변합니다."
어둠아 끝나라,빛이 있을 겁니다.
내가 최선을 다한 것 같아요,최선을 다했다면 그 시간 자체를 즐기면 돼요.
최선을 다한 거 같은데,최선을 다하면 시간을 즐길 수 있습니다.
드라이브는 없어요,자신의 감정을 주변 사람들에게 터놓고 이야기해보세요.
기력이 없어,자신의 감정에 대해 주변 사람들에게 공개적으로 말하십시오.
왜 사랑하기가 그렇게 어렵죠?,진정한 사랑인지 생각해보세요.
사랑하는데 왜 힘든 걸까?,진정한 사랑이라고 생각하세요.
대학에 갔을 때 가장 좋아하는 여자친구가 주는 선물은 뭐죠?,큰 선물은 짐만 될 거예요.
전화가 왔지만 답답할 수 없어요,다시 연락하고 싶다면 전화해보세요.
전화가 왔는데 못받앗어,다시 연락하고 싶다면 전화해 주세요.
내가 여자친구의 전남자친구보다 능력이 부족해.,사람들을 만나는 것에 대해 걱정하지 마
딸기를 먹고 싶어요.,신선한 과일 좋죠
솔직히 말해서,말하는 습관 차이인 듯 합니다.
대놓고 말했으면 좋겠어,말하는 습관에 차이가 있습니다.
남성과 대화할 수 없는 여성들 사이에는 세 가지 차이점이 있습니다.,세 가지 이상이죠.
남자들에게 말 못하는 여자들의 이별 세가지.,셋이 넘습니다.
아팠어요,아프지 말아요.
통증,다치지 마
이혼을 받아들여야 하지만 계속 생각하고 있어요,이별을 받아들일 시간이 필요할지도 몰라요.
이별을 받아들여야 하는데 생각이 자꾸 나네,차별을 받아들이는 데 시간이 걸릴 수 있습니다.
남자친구에게 가장 좋은 선물은 무엇일까요?,직접 물어보는 게 편할 거 같아요.
남자친구 자취 선물로 뭐가 좋을까?,스스로에게 물어보는 게 좀 더 편하다고 생각합니다.
오늘 꿈에서 남자친구가 있다면...,지금처럼 생각 많이 하고 자면 꿈이 나타날 거예요.
뭐 입고 있어?,환해 보이는 옷이요!
뭐 입고 가지?,예쁜 드레스야!
내가 미쳤어,당신을 탓하지 마세요.
내가미쳤지,자신을 비난하지 마세요.
나와 함께 놀자.,지금 그러고 있어요.
반복되는 날입니다.,일상은 항상 반복돼요.
반복되는 하루,항상 이런 일이 벌어집니다.
다시 만나면 좋겠나?,좋지만은 않을 거예요.
다시 재회하는 경우는 기분 어떨까?,괜찮지만 그렇지 않습니다.
내가 일하지 못해요,오늘 회사 가기 싫은가봐요.
출근길 막혀,오늘 일하러 가고 싶지 않아요.
그런 날들 중 하나일 뿐이야,그런 하루도 감사한 마음을 가져보세요.
"수도가 얼어, 물이 없어",잘 녹여보세요.
수도가 얼었나 물이 안나와,잘 녹아주세요.
친구들이 사랑하니까 예뻐졌대,당신은 행복 바이러스에 감염되었습니다.
어른이 된 척 해,척 안해도 돼요.
이제 끝난 줄 알았는데 아직도 좋아해.,끝은 쉽게 오지 않습니다.
어쩌면 내 친구일지도 몰라,소극적으로 표현했다면 친구해도 좋을 것 같습니다.
썸 탔던 애 친구해도 되나,작은 의미로 말한다면 친구가 되는 게 좋을 것 같아요.
이제 끝이야,이별할 때를 아는 것도 중요해요.
이젠 진짜 끝인가봐,또한 언제 헤어지는지 아는 것도 중요합니다.
속임수야,후련하다니 다행이에요.
속이 후련하네,네가 잘하는게 다행이야.
사랑은 시간 낭비입니다.,감정 낭비일 때도 있지만 행복한 일이에요.
연애는 시간낭비인듯,감정의 낭비이지만 행복한 일이죠.
내 여자친구는 생일을 잊었다.,알람을 맞춰주세요.
남자친구가 동굴에 들어가면 뭐하는 거야?,믿고 나올 때까지 잠시 기다려주세요.
며칠 전에 봤어요,당황했겠어요.
남자가 여자를 좋아하고 약속을 잊을 수 있을까?,정말 바빴던게 아니라면 까먹지는 않을 거예요.
남자가 여자를 좋아하는데 약속을 까먹을 수 있나요?,정말 바쁘지 않았다면 잊지 않을 겁니다.
마치 개처럼,벗어나는 게 좋겠네요.
저는 이 현실에서 벗어나고 싶습니다.,그래서 우리는 꿈을 꾸죠.
이 현실에서 도망가고 싶어,그래서 우리가 꿈꾸는 거야
정말 힘들어요,힘이 되지 않겠지만 힘내세요.
이것도 받아들일 거야?,받아들여야할 부분도 있을 거예요.
이것 또한 받아들이는 것이겠죠~??,우리가 받아들여야 할 부분도 있습니다.
견과류 챙겨 먹어야지.,건강하게 유지하세요.
난 사랑에 빠졌어,행복해보여요.
나 사랑에 빠졌죠,행복해 보이네
맛집에 갔어요,맛있게 드시고 오셨길 바랍니다.
2년이 지나서 첫사랑이 살던곳 지나갔는데,안 가라고 했잖아
잠깐만 괜찮았어,사람 기분이란게 그런가봐요.
잠깐 괜찮았는데,인간으로서의 느낌은 그런 것 같습니다.
또 다른 스팸 전화.,차단 어플 사용해보세요.
또 스팸 전화,차단 앱을 사용하세요.
왜 끝낼 수 없어?,관계를 끝내는건 생각보다 힘들어요.
공부하는 방법은 틀렸나요?,나한테 맞는 공부 방법 찾는 게 시급하네요.
공부방법이 잘못된걸까?,저는 공부를 하는 올바른 방법을 찾기 위해 서두르고 있습니다.
점심시간잠깐 그녀가 저에게 했던 말들이 떠오르네~ㅠㅠ,마음을 틀어야 합니다.
다시 고통스러운 밤이야,또 아침이 올 거예요.
네 탓이야,모두 제 잘못입니다.
농담하는 거야?,사귀기 전에 감정을 갖고 서로 알아가는 단계라면 썸일 거예요.
썸인가,데이트하기 전에 감정으로 서로를 알게 되는 단계입니다.
다시 작별 인사를 해,언젠간 찾아올 이별이에요.
다시 이별,언젠가는 보자
난 널 사랑하지만 넌 미쳤어,불타오르는 사랑만 사랑인건 아니에요.
사랑하는데 미지근한 거 같아,사랑만이 불타는 게 아닙니다.
서두르지 않는 사람은 나뿐이야,다음에는 꼭 진급할 거예요.
엄마가 동생이랑 차별해,그게 의도된 게 아니라고 생각합니다.
"내일 보자, 데시?",멋지게 데이트 신청 해보세요.
스킨십 언제부터 할까?,둘 다 준비되면
허리 통증이야,계속 앉아있지 마세요.
허리 아프다,가만히 앉아서는 안 돼
노트북이 필요해요,결혼 얼마 안 남았나봐요.
청첩장 만들어야지,우리가 결혼할 지 얼마 안 남았다고 생각합니다.
씻기 싫어,씻고 쉬어라.
이별후폭풍 왜이렇게 심하죠,갈라지기까지는 시간이 걸립니다.
들어가기 힘들지만 괜찮아?,다행이네요.
네가 점점 약해지고 있는 것 같아,자신을 우선순위로 해주세요.
난 네 첫사랑이야,그 사람에게 잘해주세요.
그냥 휴일일 뿐이야,들어드릴게요.
그를 생각해서 잠을 잘 수 없어요.,복잡한 마음이 가득한가봐요.
그 사람 생각에 잠이 안 와.,복잡한 마음들로 가득합니다.
내 전 여자친구와 제 파트너는 친구입니다.,신경 쓰이는 상황 같아요.
전여친하고 짝녀가 친구야.,걱정스러운 상황이라고 생각합니다.
답정녀 안 만나는 방법 있나.,"이길 수는 없으니, 할 수 있다면 피하라."
3년간의 트라우마,상처받은 마음 보듬어주고 싶네요.
3년 째 트라우마,부상자를 치유하고 싶어요.
내 친구한테 물어볼게,친구도 잘 몰라요.
또 연락을 해버렸네.,연락처를 삭제하라
나만 좋아하는 여자니까 어떻게 그녀를 좋아하게 해?,매력을 마음껏 어필해보세요.
소개팅 나온 여자애가 너무 좋은데 나만 좋아하는거같아. 어떻게 날 좋아하게하지?,호소할 수 있도록 최선을 다하세요.
토끼처럼 날 때렸어,못 당해요. 무시하세요.
여우같은 애한테 당했어,만져도 안 돼 무시해
선택의 중간에 놓지 마세요.,삶은 선택의 연속인 걸요.
나를 선택의 기로에 놓이지 않게하라,인생은 선택의 연속입니다.
왜 날 좋아해?,당신은 당신이란 이유로 이미 그럴 자격이 있어요.
나 왜 좋아할까?,넌 이미 네가 누구인지로 그것을 받을 자격이 있어.
난 O 타입 여자랑 데이트 중이야,엄청 사랑해주세요.
O형 여자와 썸을 타는데,난 널 너무 사랑해
그는 좋은 남자이기 때문에 그를 놓치고 싶지 않아요.,그런 사람은 놓치면 후회해요.
좋은 사람 같아서 놓치고 싶지 않아.,놓친다면 후회할 겁니다.
얼마나 오랫동안 덮을 수 있을까요?,마음을 풀어주는 음악을 들어보세요.
